,Movie name,Release Year,Duration,Age Limit,Rating
1,Побег из Шоушенка,1994,2h 22m,16+,9.3
2,Крестный отец,1972,2h 55m,16+,9.2
3,Тёмный рыцарь,2008,2h 32m,14+,9.1
4,Крестный отец 2,1974,3h 22m,16+,9.0
5,12 разгневанных мужчин,1957,1h 36m,16+,9.0
6,Властелин колец: Возвращение короля,2003,3h 21m,12+,9.0
7,Список Шиндлера,1993,3h 15m,16+,9.0
8,Властелин колец: Братство кольца,2001,2h 58m,12+,8.9
9,Криминальное чтиво,1994,2h 34m,18+,8.8
10,"Хороший, плохой, злой",1966,2h 41m,12+,8.8
11,Властелин колец: Две крепости,2002,2h 59m,12+,8.8
12,Форрест Гамп,1994,2h 22m,0+,8.8
13,Бойцовский клуб,1999,2h 19m,18+,8.8
14,Начало,2010,2h 28m,12+,8.8
15,Звёздные войны: Эпизод 5 - Империя наносит ответный удар,1980,2h 4m,12+,8.7
16,Матрица,1999,2h 16m,16+,8.7
17,Славные парни,1990,2h 25m,16+,8.7
18,Интерстеллар,2014,2h 49m,12+,8.7
19,Пролетая над гнездом кукушки,1975,2h 13m,16+,8.6
20,Семь,1995,2h 7m,18+,8.6
21,Эта замечательная жизнь,1946,2h 10m,PG,8.6
22,Молчание ягнят,1991,1h 58m,18+,8.6
23,Семь самураев,1954,3h 27m,Not Rated,8.6
24,Спасти рядового Райана,1998,2h 49m,18+,8.6
25,Зелёная миля,1999,3h 9m,14+,8.6
26,Город Бога,2002,2h 10m,16+,8.6
27,Жизнь прекрасна,1997,1h 56m,0+,8.6
28,Терминатор 2: Судный день,1991,2h 17m,16+,8.6
29,Звёздные войны,1977,2h 1m,0+,8.6
30,Назад в будущее,1985,1h 56m,12+,8.5
31,Унесённые призраками,2001,2h 4m,12+,8.6
32,Пианист,2002,2h 30m,16+,8.5
33,Гладиатор,2000,2h 35m,18+,8.5
34,Паразиты,2019,2h 12m,18+,8.5
35,Психо,1960,1h 49m,16+,8.5
36,Могила светлячков,1988,1h 28m,12+,8.5
37,Король лев,1994,1h 28m,0+,8.5
38,Харакири,1962,2h 13m,Not Rated,8.6
39,Отступники,2006,2h 31m,18+,8.5
40,Одержимость,2014,1h 46m,16+,8.5
41,Престиж,2006,2h 10m,12+,8.5
42,Американская история Икс,1998,1h 59m,16+,8.5
43,Леон,1994,1h 50m,16+,8.5
44,Человек-паук: Паутина вселенных,2023,2h 20m,6+,8.5
45,Новый кинотеатр «Парадизо»,1988,2h 54m,16+,8.5
46,Касабланка,1942,1h 42m,6+,8.5
47,1+1,2011,1h 52m,14+,8.5
48,Подозрительные лица,1995,1h 46m,16+,8.5
49,Чужой,1979,1h 57m,18+,8.5
50,Новые времена,1936,1h 27m,0+,8.5
51,Джанго освобождённый,2012,2h 45m,18+,8.5
52,Окно во двор,1954,1h 52m,12+,8.5
53,Однажды на Диком Западе,1968,2h 46m,PG-13,8.5
54,Огни большого города,1931,1h 27m,G,8.5
55,Апокалипсис сегодня,1979,2h 27m,18+,8.4
56,ВАЛЛ·И,2008,1h 38m,0+,8.4
57,Помни,2000,1h 53m,18+,8.4
58,Дюна: Часть вторая,2024,2h 46m,16+,8.4
59,Индиана Джонс: В поисках утраченного ковчега,1981,1h 55m,12+,8.4
60,Мстители: Война бесконечности,2018,2h 29m,16+,8.4
61,Жизнь других,2006,2h 17m,16+,8.4
62,Человек-паук: Через Вселенные,2018,1h 57m,6+,8.4
63,Сансет бульвар,1950,1h 50m,Approved,8.4
64,Свидетель обвинения,1957,1h 56m,Approved,8.4
65,Тропы славы,1957,1h 28m,Approved,8.4
66,Сияние,1980,2h 26m,18+,8.4
67,Великий диктатор,1940,2h 5m,0+,8.4
68,Бесславные ублюдки,2009,2h 33m,18+,8.4
69,12-я неудача,2023,2h 27m,,8.7
70,Чужие,1986,2h 17m,16+,8.4
71,Рай и ад,1963,2h 23m,Not Rated,8.4
72,Тёмный рыцарь: Возрождение легенды,2012,2h 44m,12+,8.4
73,Тайна Коко,2017,1h 45m,12+,8.4
74,Мстители: Финал,2019,3h 1m,16+,8.4
75,Умница Уилл Хантинг,1997,2h 6m,16+,8.3
76,Амадей,1984,2h 40m,PG,8.4
77,История игрушек,1995,1h 21m,6+,8.3
78,Твоё имя,2016,1h 46m,12+,8.4
79,Подводная лодка,1981,2h 29m,,8.4
80,Олдбой,2003,2h,18+,8.3
81,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1964,1h 35m,PG,8.3
82,Храброе сердце,1995,2h 58m,16+,8.3
83,Принцесса Мононоке,1997,2h 13m,12+,8.3
84,Красота по-американски,1999,2h 2m,16+,8.3
85,Три идиота,2009,2h 50m,16+,8.4
86,Капернаум,2018,2h 6m,18+,8.4
87,Джокер,2019,2h 2m,18+,8.3
88,Поющие под дождем,1952,1h 43m,G,8.3
89,Однажды в Америке,1984,3h 49m,16+,8.3
90,Иди и смотри,1985,2h 22m,16+,8.3
91,Звёздные войны: Эпизод 6 - Возвращение Джедая,1983,2h 11m,0+,8.3
92,Реквием по мечте,2000,1h 42m,18+,8.3
93,История игрушек: Большой побег,2010,1h 43m,0+,8.3
94,Охота,2012,1h 55m,16+,8.3
95,Жить,1952,2h 23m,Not Rated,8.3
96,Пожары,2010,2h 11m,16+,8.3
97,Вечное сияние чистого разума,2004,1h 48m,16+,8.3
98,Квартира,1960,2h 5m,Approved,8.3
99,Лоуренс Аравийский,1962,3h 47m,Approved,8.3
100,2001 год: Космическая одиссея,1968,2h 29m,12+,8.3
101,Бешеные псы,1992,1h 39m,18+,8.3
102,Схватка,1995,2h 50m,16+,8.3
103,Лицо со шрамом,1983,2h 50m,18+,8.3
104,Двойная страховка,1944,1h 47m,Approved,8.3
105,Вверх,2009,1h 36m,0+,8.3
106,На север через северо-запад,1959,2h 16m,12+,8.3
107,Звёздочки на земле,2007,2h 42m,0+,8.3
